,City,High School Completion,Income Inequality,Life Expectancy,Neighborhood racial/ethnic segregation,Racial/ethnic diversity,"Unemployment - annual, neighborhood-level",Uninsured,STATE_ABBR,no_of_crimes
293,Gastonia,84.6,-22.7,74.8,11.9,61.7,7.2,11.2,NC,55
294,Greensboro,89.8,-21.4,78.9,18.6,72.6,6.1,11.7,NC,127
295,High Point,84.6,-22.9,77.3,14.4,76.9,6.9,12.3,NC,40
296,Huntersville,96.5,17.5,80.1,7.7,52.9,3.4,6.4,NC,4
297,Raleigh,91.8,-3.4,80.2,15.6,72.8,4.1,11.4,NC,232
298,Rocky Mount,85.2,-32.0,75.9,15.6,59.9,7.3,10.9,NC,21
299,Winston-Salem,88.2,-24.8,77.1,18.2,71.6,6.0,14.2,NC,22
300,Bismarck,93.8,-9.0,80.6,6.6,30.6,2.3,7.1,ND,54
301,Fargo,94.3,-15.7,80.8,10.5,39.8,3.2,7.3,ND,85
302,Grand Forks,95.1,-23.6,79.6,7.4,42.0,4.2,7.5,ND,33
303,Akron,87.0,-34.0,75.0,21.2,61.5,8.1,10.0,OH,383
304,Canton,86.1,-44.9,75.8,14.8,47.7,11.1,9.5,OH,35
305,Cincinnati,88.1,-31.1,75.3,23.8,64.0,8.0,8.2,OH,631
306,Cleveland,80.8,-45.2,73.1,31.9,73.6,13.2,8.8,OH,812
307,Dayton,83.4,-43.8,72.0,29.9,63.0,10.7,10.6,OH,130
308,Elyria,87.2,-31.4,75.8,10.0,51.2,6.9,8.9,OH,24
309,Hamilton,86.7,-28.4,75.0,15.7,39.6,6.6,9.4,OH,247
310,Kettering,94.8,-15.5,79.1,7.1,35.4,4.1,6.6,OH,53
311,Lorain,81.9,-36.0,75.2,9.5,70.0,8.7,8.2,OH,64
312,Parma,91.3,-16.5,78.2,8.0,35.5,5.6,6.8,OH,54
313,Toledo,86.1,-36.9,74.9,17.2,65.4,9.1,8.3,OH,115
314,Youngstown,84.1,-49.8,72.7,15.4,71.4,14.3,7.9,OH,48
315,Broken Arrow,93.9,-1.7,78.4,5.7,61.2,4.2,11.1,OK,21
316,Edmond,96.1,7.5,80.4,5.5,54.9,3.6,8.3,OK,20
317,Enid,86.8,-23.2,75.9,12.2,56.6,4.9,18.1,OK,17
318,Lawton,89.1,-26.1,74.9,3.4,80.2,8.2,15.9,OK,42
319,Avondale,82.7,-10.2,78.1,7.7,73.4,5.9,12.0,AZ,21
320,Midwest City,90.7,-22.0,75.3,8.5,68.4,5.5,14.5,OK,24
321,Moore,91.5,-10.0,76.0,4.2,61.0,4.4,11.1,OK,7
322,Norman,93.5,-14.8,78.0,4.0,60.4,4.5,10.9,OK,56
323,Oklahoma City,86.4,-15.1,76.0,18.4,76.5,4.3,16.5,OK,181
324,Tulsa,87.3,-21.5,75.8,15.8,77.3,6.3,19.0,OK,405
325,Buckeye,86.4,-3.4,78.8,6.3,65.6,5.6,8.8,AZ,7
326,Casa Grande,83.4,-20.9,78.2,6.4,66.2,6.6,11.2,AZ,4
327,Beaverton,91.6,-1.7,81.6,7.2,63.1,4.7,9.5,OR,96
328,Bend,95.5,-6.3,81.3,4.0,33.0,4.8,9.5,OR,85
329,Corvallis,96.1,-20.7,82.5,4.7,49.1,6.0,6.7,OR,145
330,Chandler,93.1,8.0,80.1,7.1,70.0,3.7,8.1,AZ,71
331,Eugene,93.9,-21.6,79.7,5.8,47.3,7.0,7.9,OR,701
332,Gresham,85.8,-18.3,77.9,5.5,68.1,6.2,9.0,OR,16
333,Hillsboro,90.3,4.8,81.3,8.9,72.0,4.7,6.6,OR,35
334,Tigard,92.9,3.5,82.3,4.7,56.4,3.7,8.6,OR,187
335,Allentown,79.0,-31.7,77.7,9.6,69.4,10.0,12.6,PA,19
